pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,801.9077250957489,None,801.8904197692871,803.9071159362793,804.27638463974,808.8909509181976,809.3076258182525,None,828.4752467155456,None,829.8920059204102,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_010.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,831.9255111217499,None,831.9087818145751,833.9255180358887,834.309212732315,836.2256309986115,836.6089866638183,None,858.5268075942993,None,859.9434869289398,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_011.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,861.9109170436859,None,861.8936257839202,863.9103488922119,864.2937427043914,None,867.9943225860595,None,888.4949377059936,None,889.9117360115051,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_012.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,891.9125430583954,None,891.8950956344604,893.9119849205017,894.2993076324462,None,898.4287496089935,899.4456470012665,918.4964507102966,None,919.9132280349731,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_013.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,921.9146621227264,None,921.8967137813568,923.9133880138397,924.2968926906585,927.6469299793243,928.0303125858306,None,948.4980156898498,None,949.9146881103516,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_014.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,951.9205060005188,None,951.8983808040618,953.9483349323273,954.2983468055725,None,958.631818819046,None,978.4996567249298,None,979.9163289070129,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_015.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,981.9168400764465,None,981.8996286869049,983.9164910316467,984.2997656345367,987.1875329017639,987.6000166416168,988.6166710853577,1008.5011256217956,1009.5178620815277,1009.9177629947662,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_016.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,1011.9184410572052,None,1011.901137638092,1013.9180090427399,1014.3012867450714,None,1017.9348416805267,None,1038.5025365829467,None,1039.9192419052124,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_017.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,1041.9199450016022,None,1041.9026966571807,1043.9194359779358,1044.3027847290039,None,1047.603056716919,1048.6197509765625,1068.5040016651153,1069.5249030590057,1069.920737028122,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_018.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,1071.9211559295654,None,1071.9042857170105,1073.9210760593414,1074.304314661026,1077.2545609474182,1077.6378508090972,None,1098.5055716514587,None,1099.9222528934479,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_019.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,0,0,0,0,,,,,1101.9387669563293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1132.7779560089111,None,1132.7442036151886,1134.7740459442139,1135.1574817180633,1138.9408829212189,1139.324275779724,1140.344983100891,1159.3586717128753,None,1160.7755711078644,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_000.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1162.7764909267426,None,1162.7588017463684,1164.775554895401,1165.1588936328887,1169.9425148963928,1170.3258088111877,None,1189.3601456165313,None,1190.7768609523773,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_001.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
