pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_in_text.started,fade_in_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,986.091814994812,None,792.215409040451,None,792.215409040451,None,792.1967136383057,None,972.2686719894409,982.3066689968109,984.0857539176941,None,1033.0111019611359,1073.0406248569489,1033.0111019611359,1073.0406248569489,1032.9920527458191,None,1073.4236130714417,None,1075.494176864624,None,1075.4609326839447,1077.4907319545746,1077.87804479599,None,1081.5742628097535,None,1102.0792006969452,None,1103.4920129776,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,1105.4940240383148,None,1105.4755026817322,1107.4922568798065,1107.875661802292,1111.9257888793945,1112.3091177463532,1113.326020002365,1132.093421649933,1133.1140730381012,1133.5101549625397,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,,,1135.5123498439789,None,1135.49385471344,1137.510432958603,1137.8939036846161,1140.4771890640259,1140.8605978012085,None,1162.0949418067933,None,1163.5156960487366,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_003.wav,,,,,,,,,,,,,,,,,,,,,1165.4789588451385,None,1165.4617537975312,1167.478509902954,1167.8618857383728,None,1172.0954796791077,None,1192.0631627559662,None,1193.4798848628998,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_004.wav,,,,,,,,,,,,,,,,,,,,,1195.4799809455872,None,1195.4632386684418,1197.480013847351,1197.8633846759797,None,1202.6302957057953,None,1222.0645617961884,None,1223.481292963028,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_005.wav,,,,,,,,,,,,,,,,,,,,,1225.5020279884338,None,1225.4688276767731,1227.5021488666534,1227.8815316677094,None,1231.4817087173462,None,1252.082738828659,1253.0996160507202,1253.4994690418243,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_006.wav,,,,,,,,,,,,,,,,,,,,,1255.5000009536743,None,1255.4828936576844,1257.499845981598,1257.8830236911774,1261.3998758792877,1261.7832297801972,None,1282.084296655655,None,1283.5009460449219,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_007.wav,,,,,,,,,,,,,,,,,,,,,1285.5011348724365,None,1285.484379720688,1287.5011649131775,1287.884530735016,1291.3724238872528,1291.751436662674,None,1312.0857877254487,None,1313.5064430236816,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_008.wav,,,,,,,,,,,,,,,,,,,,,1315.502995967865,None,1315.4858877182007,1317.502650976181,1317.890097808838,1320.7363018989563,1321.119540643692,None,1342.091296863556,None,1343.5039548873901,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_009.wav,,,,,,,,,,,,,,,,,,,,,1345.5052509307861,None,1345.4874536514283,1347.5042300224304,1347.8875648498536,None,1352.1211497306824,None,1372.0887057304383,None,1373.5054249763489,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
